SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,Churn
0,Yes,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,29.85,No
0,No,No,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,34,56.95,No
0,No,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2,53.85,Yes
0,No,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),45,42.3,No
0,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,70.7,Yes
0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,8,99.65,Yes
0,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),22,89.1,No
0,No,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,10,29.75,No
0,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,28,104.8,Yes
0,No,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),62,56.15,No
0,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,13,49.95,No
0,No,No,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),16,18.95,No
0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),58,100.35,No
0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49,103.7,Yes
0,No,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,25,105.5,No
0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),69,113.25,No
0,No,No,No,No,No,No,No,No,No,No,One year,No,Mailed check,52,20.65,No
0,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),71,106.7,No
0,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),10,55.2,Yes
0,No,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,21,90.05,No
1,No,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,39.65,Yes
0,Yes,No,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),12,19.8,No
0,No,No,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,20.15,Yes
0,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),58,59.9,No
0,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49,59.6,No
0,No,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30,55.3,No
0,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47,99.35,Yes
0,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,30.2,Yes
0,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,90.25,No
0,No,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,17,64.7,Yes
1,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),71,96.35,No
1,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2,95.5,No
0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,27,66.15,No
0,No,No,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,20.2,No
1,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,45.25,No
0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),72,99.9,No
0,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5,69.7,Yes
0,No,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),46,74.8,No
